1,Stone
2,Grass
3,Dirt
4,Cobblestone
5,Wood
6,Sapling
7,Bedrock
8,Water
9,Stationary Water
10,Lava
11,Stationary Lava
12,Sand
13,Gravel
14,Gold Ore
15,Iron Ore
16,Coal Ore
17,Log
18,Leaves
19,Sponge
20,Glass
21,Lapis Lazuli Ore
22,Lapis Lazuli Block
23,Dispenser
24,Sandstone
25,Note Block
35,Wool
37,Yellow Flower
38,Red Rose
39,Brown Mushroom
40,Red Mushroom
41,Gold Block
42,Iron Block
43,Double Step
44,Step
# 44,Stone Step, 0
# 44,Sandstone Step, 1
# 44,Wodden Step, 2
# 44,Cobblestone Step, 3
45,Brick
46,TNT
47,Bookcase
48,Mossy Cobblestone
49,Obsidian
50,Torch
51,Fire
52,Mob Spawner
53,Wooden Stairs
54,Chest
55,Redstone Wire
56,Diamond Ore
57,Diamond Block
58,Workbench
59,Crops
60,Soil
61,Furnace
62,Burning Furnace
63,Sign Post
64,Wooden Door
65,Ladder
66,Minecart Tracks
67,Cobblestone Stairs
68,Wall Sign
69,Lever
70,Stone Pressure Plate
71,Iron Door
72,Wooden Pressure Plate
73,Redstone Ore
74,Glowing Redstone Ore
75,Redstone Torch (Off)
76,Redstone Torch (On)
77,Stone Button
78,Snow
79,Ice
80,Snow Block
81,Cactus
82,Clay
83,Reed
84,Jukebox
85,Fence
86,Pumpkin
87,Netherrack
88,Soul Sand
89,Glowstone
90,Portal
91,Jack-O-Lantern
92,Cake Block
93,Redstone Repeater (off)
94,Redstone Repeater (on)
256,Iron Spade
257,Iron Pickaxe
258,Iron Axe
259,Flint and Steel
260,Apple
261,Bow
262,Arrow
263,Coal
264,Diamond
265,Iron Ingot
266,Gold Ingot
267,Iron Sword
268,Wooden Sword
269,Wooden Spade
270,Wooden Pickaxe
271,Wooden Axe
272,Stone Sword
273,Stone Spade
274,Stone Pickaxe
275,Stone Axe
276,Diamond Sword
277,Diamond Spade
278,Diamond Pickaxe
279,Diamond Axe
280,Stick
281,Bowl
282,Mushroom Soup
283,Gold Sword
284,Gold Spade
285,Gold Pickaxe
286,Gold Axe
287,String
288,Feather
289,Gunpowder
290,Wooden Hoe
291,Stone Hoe
292,Iron Hoe
293,Diamond Hoe
294,Gold Hoe
295,Seeds
296,Wheat
297,Bread
298,Leather Helmet
299,Leather Chestplate
300,Leather Pants
301,Leather Boots
302,Chainmail Helmet
303,Chainmail Chestplate
304,Chainmail Pants
305,Chainmail Boots
306,Iron Helmet
307,Iron Chestplate
308,Iron Pants
309,Iron Boots
310,Diamond Helmet
311,Diamond Chestplate
312,Diamond Pants
313,Diamond Boots
314,Gold Helmet
315,Gold Chestplate
316,Gold Pants
317,Gold Boots
318,Flint
319,Pork
320,Grilled Pork
321,Paintings
322,Golden Apple
323,Sign
324,Wooden Door
325,Bucket
326,Water Bucket
327,Lava Bucket
328,Mine Cart
329,Saddle
330,Iron Door
331,Redstone
332,Snowball
333,Boat
334,Leather
335,Milk Bucket
336,Clay Brick
337,Clay Balls
338,Sugar Cane
339,Paper
340,Book
341,Slime Ball
342,Storage Minecart
343,Powered Minecart
344,Egg
345,Compass
346,Fishing Rod
347,Watch
348,Glowstone Dust
349,Raw Fish
350,Cooked Fish
#Dye
#351,Ink sack,0
#351,Rose Red,1
#351,Cactus Green,2
#351,Brown,3
#351,Lapis Lazuli Dye,4
#351,Purple Dye,5
#351,Cyan Dye,6
#351,Light Gray Dye,7
#351,Gray Dye,8
#351,Pink Dye,9
#351,Lime Dye,10
#351,Dandelion Yellow Dye,11
#351,Light Blue Dye,12
#351,Magenta Dye,13
#351,Orange Dye,14
#351,Bone Meal,15
351,Dye
#Dye End
352,Bone
353,Sugar
354,Cake
355,Bed
2256,Gold Record
2257,Green Record